date,weekday,n_pickups,demand_modules,cost_opt_eur,cost_asap_eur,saving_eur,saving_pct,energy_opt_kwh,energy_asap_kwh,price_mean,price_min,price_max,price_spread_p90_p10,n_mill_runs_opt,n_mill_eco_opt,n_press_runs_opt,n_mill_runs_asap,n_press_runs_asap,peak_load_opt_kw,peak_load_asap_kw,H_end_opt,M_end_opt,H_end_asap,M_end_asap,H_mean_opt,M_mean_opt,H_mean_asap,M_mean_asap,energy_shifted_kwh,solve_time_s,termination_condition,n_mill_active_window_opt,n_press_active_window_opt,window_mill_cap,window_press_cap
2024-03-05,Tuesday,2,340,12.1345,11.0034,-1.1311,-10.279,165.3401,151.5499,80.333,65.83,112.99,38.37,3,3,8,3,7,22.542,23.744,80.0,20.0,80.0,20.0,66.429,117.679,69.286,150.536,59.8556,6.887,optimal,5,13,8,20
2024-03-06,Wednesday,2,190,7.6144,8.6369,1.0225,11.838,105.63,106.2787,87.059,69.29,119.58,49.9,2,1,5,2,5,23.744,23.744,80.0,30.0,80.0,30.0,62.143,92.321,62.143,124.464,52.5778,1.374,optimal,4,12,8,20
2024-03-07,Thursday,2,290,10.2201,12.0943,1.8742,15.496,150.9012,167.2863,76.825,60.26,105.71,35.01,3,1,7,3,8,24.256,23.744,100.0,20.0,60.0,60.0,80.0,78.571,52.857,134.286,62.0184,1.505,optimal,6,16,8,20
2024-03-08,Friday,2,350,9.6189,8.2765,-1.3424,-16.219,196.1723,167.2863,56.514,4.26,88.89,61.99,4,1,9,3,8,23.744,23.744,140.0,30.0,40.0,30.0,73.929,96.607,57.857,143.036,55.7228,1.787,optimal,5,13,8,20
2024-03-11,Monday,1,160,10.6827,6.4175,-4.2652,-66.462,150.2525,90.5423,79.626,60.79,108.01,35.67,3,2,7,2,4,23.124,23.744,160.0,150.0,80.0,30.0,147.143,89.286,58.571,63.571,56.7244,1.906,optimal,3,10,8,20
2024-03-12,Tuesday,2,260,3.7305,10.4888,6.7582,64.433,47.2092,122.0151,95.573,78.26,134.92,46.13,0,0,3,2,6,17.138,23.744,40.0,10.0,40.0,10.0,80.714,146.429,40.0,122.857,43.8847,7.411,optimal,2,9,8,20
2024-03-13,Wednesday,2,240,9.1015,8.6414,-0.4601,-5.325,135.1648,122.0151,75.799,63.96,97.8,29.75,3,1,6,2,6,23.744,23.744,100.0,10.0,0.0,10.0,71.429,61.607,17.857,90.179,51.2662,10.545,optimal,5,13,8,20
2024-03-14,Thursday,2,270,9.8926,12.3857,2.4931,20.129,167.2863,181.0847,69.636,49.16,114.77,38.67,3,0,8,4,8,23.744,23.744,80.0,60.0,80.0,60.0,83.214,126.786,58.571,96.071,74.5234,1.38,optimal,6,16,8,20
2024-03-15,Friday,2,350,10.278,8.6985,-1.5795,-18.158,196.8211,167.2863,58.809,36.87,87.99,48.58,4,0,9,3,8,23.744,23.744,120.0,70.0,60.0,30.0,56.429,150.179,52.857,168.036,73.1076,4.312,optimal,6,15,8,20
2024-03-18,Monday,2,300,8.6293,11.7204,3.0911,26.374,120.7177,151.5499,88.49,66.64,145.71,58.83,2,2,6,3,7,22.419,23.744,80.0,10.0,80.0,10.0,72.5,117.679,69.286,101.25,54.1141,1.394,optimal,4,13,8,20
2024-03-19,Tuesday,2,280,14.3915,11.7673,-2.6242,-22.301,196.8211,167.2863,83.631,54.47,131.42,72.24,4,0,9,3,8,23.744,23.744,120.0,90.0,60.0,50.0,77.857,133.75,52.857,133.75,14.7674,6.889,optimal,6,16,8,20
2024-03-20,Wednesday,2,360,10.6295,19.6753,9.0458,45.975,151.5499,212.5575,94.762,61.43,168.54,95.1,3,0,7,4,10,23.867,23.744,140.0,10.0,60.0,90.0,101.786,161.964,74.286,123.393,78.9553,4.78,optimal,6,16,8,20
2024-03-21,Thursday,2,350,13.7484,11.3844,-2.364,-20.765,182.374,151.5499,84.304,59.96,127.13,58.21,3,1,9,3,7,23.744,23.744,80.0,20.0,80.0,20.0,82.143,98.571,69.286,150.714,45.2675,1.209,optimal,6,17,8,20
2024-03-22,Friday,2,340,13.9741,14.6621,0.6881,4.693,212.5575,212.5575,73.077,49.76,121.59,68.86,4,0,10,4,10,23.744,23.744,80.0,80.0,80.0,80.0,70.714,117.321,62.143,125.893,20.0209,1.474,optimal,7,18,8,20
2024-03-25,Monday,2,370,12.2204,12.6882,0.4678,3.687,166.6376,167.2863,91.206,61.85,174.7,86.53,3,1,8,3,8,23.744,23.744,60.0,30.0,60.0,30.0,57.5,152.5,52.857,173.214,58.1306,3.717,optimal,6,16,8,20
2024-03-26,Tuesday,2,330,9.1061,8.6951,-0.4109,-4.726,181.0847,167.2863,61.122,11.49,100.75,72.95,4,0,8,3,8,23.744,23.744,140.0,20.0,40.0,20.0,97.143,93.036,57.857,103.75,38.372,1.404,optimal,6,15,8,20
2024-03-27,Wednesday,2,300,9.1813,10.7251,1.5438,14.394,136.4541,151.5499,81.911,57.13,125.93,61.28,2,2,7,3,7,22.419,23.744,60.0,0.0,60.0,0.0,58.214,122.321,49.286,100.893,23.8414,1.668,optimal,5,14,8,20
2024-03-28,Thursday,2,250,3.905,4.6048,0.6998,15.198,151.5499,151.5499,42.103,0.04,80.92,73.92,3,0,7,3,7,23.124,23.744,80.0,30.0,80.0,30.0,73.214,64.286,69.286,91.429,54.4656,2.105,optimal,5,13,8,20
2024-04-02,Tuesday,2,260,4.0609,2.2277,-1.8332,-82.29,196.8211,122.0151,35.946,-1.09,95.39,95.85,4,0,9,2,6,24.256,23.744,120.0,130.0,40.0,10.0,82.143,137.857,40.0,122.857,70.4287,1.131,optimal,5,14,8,20
2024-04-03,Wednesday,2,330,8.3104,18.1066,9.7962,54.103,104.9813,196.8211,93.23,73.04,123.3,44.86,2,2,5,4,9,22.542,23.744,120.0,0.0,80.0,40.0,113.214,123.393,58.571,97.679,80.7352,3.75,optimal,4,13,8,20
2024-04-04,Thursday,2,300,10.4027,10.6449,0.2422,2.275,165.9889,167.2863,68.117,55.49,90.66,24.41,3,2,8,3,8,23.744,23.744,100.0,20.0,60.0,60.0,61.429,92.679,52.857,144.107,52.3393,25.268,optimal,5,15,8,20
2024-04-05,Friday,2,270,5.1245,3.8909,-1.2336,-31.705,196.1723,151.5499,35.404,-0.1,81.0,67.59,4,1,9,3,7,23.744,23.744,140.0,110.0,80.0,70.0,82.5,94.286,69.286,141.429,79.0138,1.687,optimal,4,11,8,20
2024-04-08,Monday,1,170,3.6878,5.893,2.2052,37.421,60.3588,61.0076,86.336,57.89,137.3,68.52,1,1,3,1,3,22.263,23.744,120.0,60.0,60.0,20.0,112.143,85.0,52.857,83.571,60.6832,2.108,optimal,3,10,8,20
2024-04-09,Tuesday,2,320,8.4035,7.0729,-1.3306,-18.813,196.8211,167.2863,51.081,10.09,81.75,71.24,4,0,9,3,8,23.744,23.744,160.0,100.0,40.0,20.0,112.143,150.536,57.857,108.393,57.6778,17.129,optimal,6,16,8,20
2024-04-10,Wednesday,2,360,7.4646,14.7534,7.2888,49.404,137.7516,196.8211,87.126,30.32,191.19,159.86,2,0,7,4,9,24.133,23.744,80.0,20.0,80.0,20.0,78.571,166.786,58.571,97.5,58.9919,7.823,optimal,3,11,8,20
2024-04-11,Thursday,1,160,1.7336,1.7491,0.0155,0.887,135.8135,76.744,52.386,0.57,137.82,133.5,3,0,6,1,4,23.744,23.744,140.0,100.0,20.0,20.0,83.214,169.286,23.571,141.429,58.0756,1.557,optimal,4,11,8,20
2024-04-12,Friday,2,270,2.5759,3.795,1.2191,32.123,151.5499,151.5499,49.704,-0.07,125.95,124.13,3,0,7,3,7,23.744,23.744,160.0,110.0,40.0,30.0,125.357,172.679,57.857,77.679,53.8558,2.01,optimal,4,13,8,20
2024-04-15,Monday,2,340,4.6994,10.925,6.2256,56.985,137.7516,196.8211,59.349,7.8,153.24,83.57,2,0,7,4,9,23.744,23.744,80.0,50.0,80.0,50.0,107.143,125.893,58.571,103.036,76.2778,1.823,optimal,4,13,8,20
2024-04-16,Tuesday,2,280,9.9285,6.3051,-3.6234,-57.468,181.0847,122.0151,70.141,40.0,124.52,73.77,4,0,8,2,6,23.744,23.744,160.0,90.0,40.0,10.0,81.429,168.929,40.0,142.5,29.5348,1.5,optimal,5,13,8,20
2024-04-17,Wednesday,2,290,9.7123,19.4854,9.7731,50.156,120.7177,196.8211,105.991,77.03,169.9,82.21,2,2,6,4,9,22.419,23.744,120.0,40.0,80.0,80.0,102.5,143.214,58.571,103.214,69.3231,3.288,optimal,4,13,8,20
2024-04-18,Thursday,2,310,10.8628,11.2493,0.3865,3.436,137.1028,122.0151,93.869,70.7,131.19,57.95,2,1,7,2,6,23.744,23.744,40.0,10.0,40.0,10.0,55.0,92.5,40.0,157.5,68.507,1.811,optimal,5,14,8,20
2024-04-19,Friday,2,280,12.8442,8.3689,-4.4753,-53.476,225.7071,151.5499,58.497,44.56,76.0,23.36,5,1,10,3,7,23.744,23.744,140.0,130.0,60.0,10.0,61.429,88.571,49.286,86.429,72.1645,3.644,optimal,6,15,8,20
2024-04-22,Monday,2,300,9.5317,14.8726,5.3409,35.911,120.7177,167.2863,103.043,73.67,170.96,89.88,2,2,6,3,8,22.263,23.744,100.0,70.0,40.0,30.0,85.357,187.321,57.857,98.75,60.1005,4.103,optimal,4,12,8,20
2024-04-23,Tuesday,2,290,12.3699,13.4574,1.0875,8.081,150.9012,151.5499,95.631,77.26,136.28,47.61,3,1,7,3,7,23.744,23.744,120.0,60.0,60.0,20.0,80.0,137.5,49.286,111.071,56.5602,4.374,optimal,5,14,8,20
2024-04-24,Wednesday,2,310,11.482,14.7489,3.267,22.15,136.4541,167.2863,97.64,76.53,143.44,55.11,2,2,7,3,8,22.419,23.744,40.0,30.0,40.0,30.0,57.5,146.607,57.857,123.036,48.7711,1.87,optimal,3,10,8,20
2024-04-25,Thursday,1,120,8.6426,5.5234,-3.1193,-56.474,118.7796,61.0076,92.592,66.41,152.29,72.42,3,2,5,1,3,23.744,23.744,140.0,110.0,20.0,30.0,65.0,124.286,20.0,119.286,68.004,2.653,optimal,4,11,8,20
2024-04-26,Friday,2,320,10.949,13.5552,2.6062,19.227,150.2525,167.2863,88.05,65.37,141.58,63.16,3,2,7,3,8,24.133,23.744,160.0,70.0,0.0,30.0,105.0,196.786,50.0,91.071,53.2201,3.816,optimal,5,14,8,20
2024-04-29,Monday,2,340,7.0953,11.9828,4.8875,40.788,151.5499,181.0847,81.701,33.63,204.57,144.47,3,0,7,4,8,24.256,23.744,180.0,10.0,80.0,10.0,125.357,156.607,58.571,85.893,64.4356,1.429,optimal,5,15,8,20
2024-04-30,Tuesday,2,310,7.0859,11.6534,4.5676,39.195,167.2863,212.5575,63.206,10.0,132.41,110.71,3,0,8,4,10,23.744,23.744,160.0,20.0,80.0,100.0,127.143,111.25,62.143,140.536,66.2009,1.554,optimal,5,17,8,20
2024-05-02,Thursday,2,380,5.3278,2.5548,-2.773,-108.539,212.5575,167.2863,34.846,-4.19,87.96,86.87,4,0,10,3,8,24.133,23.744,160.0,40.0,60.0,40.0,159.286,108.036,52.857,193.036,62.7543,1.043,optimal,5,16,8,20
2024-05-03,Friday,2,280,11.9587,8.824,-3.1347,-35.525,165.9889,122.0151,82.384,59.33,119.94,47.9,3,2,8,2,6,23.867,23.744,140.0,80.0,20.0,0.0,96.429,146.607,37.857,119.464,61.1741,1.081,optimal,4,14,8,20
2024-05-06,Monday,2,310,12.1005,17.9647,5.8643,32.643,150.2525,196.8211,94.759,74.71,143.99,61.76,3,2,7,4,9,24.133,23.744,160.0,50.0,60.0,50.0,105.0,176.607,74.286,71.607,60.4348,1.566,optimal,5,14,8,20
2024-05-07,Tuesday,2,310,11.8836,12.4946,0.611,4.89,150.2525,151.5499,95.87,65.53,151.05,63.42,3,2,7,3,7,24.256,23.744,180.0,20.0,80.0,20.0,119.643,132.143,69.286,130.714,43.7704,1.247,optimal,5,15,8,20
2024-05-08,Wednesday,2,330,12.0252,13.6109,1.5857,11.65,152.1905,167.2863,92.328,66.58,134.42,60.59,2,2,8,3,8,22.419,23.744,60.0,10.0,60.0,10.0,71.786,96.786,52.857,113.929,56.7466,2.248,optimal,5,15,8,20
2024-05-10,Friday,2,280,4.1225,4.8719,0.7494,15.382,151.5499,151.5499,64.873,0.02,170.72,136.29,3,0,7,3,7,23.744,23.744,80.0,10.0,80.0,10.0,72.143,72.857,69.286,86.429,53.2845,1.71,optimal,5,14,8,20
